"Group","Indicator","Units","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Canada, by air","LOS Statewide","days","13.26","12.24","12.16","12.41","13.47","13.13","13.24","12.65","12.62","12.88","12.68","12.70","12.65","13.02","12.77","12.92","12.73","12.63","12.44","12.29","12.14","13.78","15.52","12.24","11.77","10.96","11.09"
"China, by air","LOS Statewide","days","6.66","4.98","5.49","7.12","6.44","5.22","5.72","5.41","6.03","5.31","7.00","5.93","5.87","5.99","6.19","6.40","6.29","6.59","7.68","7.68","8.01","9.52","10.54","8.43","8.46","8.08","8.16"
"Europe, by air","LOS Statewide","days","11.91","11.96","12.07","13.46","12.36","12.35","12.33","12.46","12.28","12.80","13.09","12.75","12.73","12.91","13.29","13.13","13.08","12.93","13.06","13.12","12.91","13.76","16.77","13.97","12.94","12.61","12.83"
"Japan, by air","LOS Statewide","days","5.68","5.56","6.02","5.91","5.91","5.80","5.71","5.61","5.69","5.74","5.83","5.87","6.03","6.02","5.94","5.80","5.86","5.86","5.95","5.97","5.90","5.95","15.56","7.93","6.56","6.19","6.05"
"Korea, by air","LOS Statewide","days","6.67","6.29","8.37","7.89","9.99","9.34","9.76","9.23","10.27","9.14","7.90","8.00","7.23","7.04","6.98","6.93","6.95","7.19","7.22","7.44","7.62","8.62","14.03","8.65","8.43","8.34","8.12"
"Latin America, by air","LOS Statewide","days","9.84","9.86","10.41","10.44","10.34","10.97","11.53","11.47","12.52","12.96","11.82","11.91","11.54","12.11","11.04","11.64","11.53","11.61","11.24","10.65","10.92","14.25","12.79","11.47","10.71","10.57","10.73"
"Oceania, by air","LOS Statewide","days","8.46","8.06","8.40","8.56","9.13","8.77","8.07","8.74","8.94","8.64","9.24","9.85","9.96","9.55","9.50","9.31","9.53","9.57","9.65","9.65","9.41","9.46","12.94","9.73","9.04","8.77","8.87"
"Other markets (excl. 4 major mkt), by air","LOS Statewide","days","9.96","9.39","9.92","7.98","10.60","10.00","10.11","10.57","10.30","10.35","10.80","10.51","10.21","9.79","9.39","9.32","9.34","9.32","9.47","9.70","9.60","10.68","11.90","10.47","9.85","9.49","9.79"
"Taiwan, by air","LOS Statewide","days","6.95","6.40","7.92","9.49","9.84","8.37","7.47","10.36","15.89","8.59","9.97","8.09","8.47","9.65","7.66","8.28","7.96","7.95","8.29","9.26","9.00","10.00","17.41","11.15","10.01","9.62","8.69"
"Total (air + cruise ship)","LOS Statewide","days","","","","","","","","","","","9.33","9.33","9.38","9.28","9.17","9.13","9.06","8.98","8.95","8.93","8.70","10.58","9.64","9.23","8.95","8.71","8.68"
"Total by air","LOS Statewide","days","8.90","8.88","9.16","9.15","9.21","9.08","9.13","9.19","9.22","9.40","9.38","9.39","9.45","9.36","9.25","9.18","9.12","9.03","9.01","8.99","8.76","10.65","9.64","9.27","9.02","8.78","8.75"
"Total by air","LOS in Hawaii County","days","6.35","6.30","6.51","6.40","6.63","6.68","6.66","6.41","6.28","6.88","6.97","7.11","7.35","7.29","7.44","7.57","7.57","7.52","7.34","7.49","7.36","10.11","9.27","8.25","7.88","7.75","7.52"
"Total by air","LOS in Honolulu County","days","6.36","6.59","6.83","6.79","6.85","6.86","6.91","6.94","6.85","7.13","7.28","7.36","7.38","7.31","6.95","6.78","6.82","6.79","6.75","6.90","6.80","8.52","8.09","7.44","7.22","7.05","6.97"
"Total by air","LOS in Kauai County","days","6.10","6.14","6.09","6.19","6.67","6.76","6.59","6.34","6.24","7.05","7.35","7.46","7.51","7.53","7.64","7.70","7.63","7.66","7.50","7.48","7.38","8.90","8.61","7.76","7.46","7.45","7.33"
"Total by air","LOS in Maui County","days","6.84","6.96","7.05","7.13","7.40","7.55","7.53","7.46","7.41","7.91","8.10","8.13","8.17","8.15","8.24","8.32","8.24","8.20","8.09","8.12","7.96","9.61","8.73","8.21","8.12","7.98","7.80"
"USE, by air","LOS Statewide","days","10.23","10.32","10.40","10.79","10.27","10.25","10.32","10.28","10.31","10.45","10.42","10.44","10.46","10.50","10.47","10.42","10.30","10.19","10.04","9.92","9.68","11.95","10.20","9.90","9.77","9.65","9.45"
"USW, by air","LOS Statewide","days","9.71","9.86","9.89","10.10","9.60","9.54","9.52","9.43","9.41","9.62","9.57","9.56","9.61","9.59","9.56","9.45","9.28","9.16","9.06","8.91","8.65","10.62","9.14","8.62","8.51","8.40","8.42"
"Visitors by cruise ship","LOS Statewide","days","","","","","","","","","","","6.02","5.07","5.14","5.29","5.22","5.33","4.58","4.95","4.41","4.40","4.66","4.74","","5.28","4.77","4.72","4.65"
